x/D,u/U
0.5,2.1248e-07
0.5095,0.00017019
0.519,0.0010912
0.5285,0.0027232
0.538,0.0046982
0.5475,0.0067675
0.557,0.00878
0.5665,0.010666
0.576,0.01239
0.5855,0.013975
0.595,0.015405
0.6045,0.016726
0.614,0.017939
0.6235,0.019068
0.633,0.020138
0.6425,0.021161
0.652,0.022147
0.6615,0.023109
0.671,0.024057
0.6805,0.024998
0.69,0.025944
0.6995,0.026887
0.709,0.027835
0.7185,0.028789
0.728,0.02975
0.7375,0.030727
0.747,0.031719
0.7565,0.032726
0.766,0.033772
0.7755,0.034836
0.785,0.035933
0.7945,0.037058
0.804,0.038201
0.8135,0.039388
0.823,0.040582
0.8325,0.041839
0.842,0.0431
0.8515,0.044429
0.861,0.045758
0.8705,0.047152
0.88,0.048545
0.8895,0.049994
0.899,0.051452
0.9085,0.05295
0.918,0.054477
0.9275,0.056023
0.937,0.057638
0.9465,0.059253
0.956,0.060916
0.9655,0.062598
0.975,0.064269
0.9845,0.065854
0.994,0.06744
1.0035,0.069212
1.013,0.071305
1.0225,0.073086
1.032,0.074745
1.0415,0.076362
1.051,0.077946
1.0605,0.079487
1.07,0.080984
1.0795,0.082459
1.089,0.083874
1.0985,0.085243
1.108,0.086568
1.1175,0.087804
1.127,0.089003
1.1365,0.090116
1.146,0.091171
1.1555,0.09218
1.165,0.093111
1.1745,0.094015
1.184,0.094866
1.1935,0.095663
1.203,0.096429
1.2125,0.097091
1.222,0.097711
1.2315,0.098254
1.241,0.098707
1.2505,0.099113
1.26,0.099392
1.2695,0.099621
1.279,0.099778
1.2885,0.099863
1.298,0.099918
1.3075,0.099915
1.317,0.099887
1.3265,0.099833
1.336,0.099742
1.3455,0.099638
1.355,0.099508
1.3645,0.099366
1.374,0.099215
1.3835,0.099044
1.393,0.098866
1.4025,0.098675
1.412,0.098484
1.4215,0.098294
1.431,0.098118
1.4405,0.09795
1.45,0.097794
1.4595,0.097669
1.469,0.09756
1.4785,0.097516
1.488,0.09749
1.4975,0.097493
1.507,0.0975
1.5165,0.097508
1.526,0.09751
1.5355,0.097518
1.545,0.097536
1.5545,0.097586
1.564,0.097652
1.5735,0.097752
1.583,0.097866
1.5925,0.097994
1.602,0.098137
1.6115,0.098285
1.621,0.098444
1.6305,0.098612
1.64,0.098786
1.6495,0.098964
1.659,0.099134
1.6685,0.099285
1.678,0.099396
1.6875,0.099484
1.697,0.099496
1.7065,0.099486
1.716,0.099438
1.7255,0.099372
1.735,0.099299
1.7445,0.099215
1.754,0.099123
1.7635,0.099022
1.773,0.098895
1.7825,0.098754
1.792,0.098566
1.8015,0.098346
1.811,0.098092
1.8205,0.097789
1.83,0.097467
1.8395,0.097105
1.849,0.096716
1.8585,0.096304
1.868,0.095847
1.8775,0.095374
1.887,0.094873
1.8965,0.094357
1.906,0.093834
1.9155,0.093296
1.925,0.09275
1.9345,0.092186
1.944,0.091593
1.9535,0.090984
1.963,0.090338
1.9725,0.089685
1.982,0.089021
1.9915,0.088357
2.001,0.087693
2.0105,0.087034
2.02,0.086376
2.0295,0.08572
2.039,0.085059
2.0485,0.084394
2.058,0.083715
2.0675,0.083028
2.077,0.082335
2.0865,0.081644
2.096,0.080957
2.1055,0.080285
2.115,0.079622
2.1245,0.078968
2.134,0.078327
2.1435,0.077689
2.153,0.07706
2.1625,0.076443
2.172,0.075833
2.1815,0.075256
2.191,0.07469
2.2005,0.074143
2.21,0.073604
2.2195,0.073066
2.229,0.072525
2.2385,0.071984
2.248,0.071441
2.2575,0.070901
2.267,0.070361
2.2765,0.069822
2.286,0.069282
2.2955,0.068741
2.305,0.068207
2.3145,0.067677
2.324,0.067159
2.3335,0.066647
2.343,0.066141
2.3525,0.065642
2.362,0.065147
2.3715,0.064655
2.381,0.064173
2.3905,0.063697
2.4,0.063249
2.4095,0.062814
2.419,0.062399
2.4285,0.061999
2.438,0.061606
2.4475,0.061223
2.457,0.060842
2.4665,0.060465
2.476,0.060085
2.4855,0.059704
2.495,0.059315
2.5045,0.058925
2.514,0.058534
2.5235,0.05815
2.533,0.05777
2.5425,0.057399
2.552,0.057033
2.5615,0.05667
2.571,0.056315
2.5805,0.055962
2.59,0.055618
2.5995,0.055281
2.609,0.054948
2.6185,0.054624
2.628,0.054302
2.6375,0.053985
2.647,0.053673
2.6565,0.053365
2.666,0.053075
2.6755,0.052796
2.685,0.052534
2.6945,0.052291
2.704,0.052056
2.7135,0.051832
2.723,0.051612
2.7325,0.051398
2.742,0.051188
2.7515,0.050979
2.761,0.050769
2.7705,0.050556
2.78,0.050339
2.7895,0.050115
2.799,0.049889
2.8085,0.049656
2.818,0.04942
2.8275,0.049182
2.837,0.048945
2.8465,0.048711
2.856,0.048483
2.8655,0.048266
2.875,0.048055
2.8845,0.047864
2.894,0.047679
2.9035,0.047507
2.913,0.047343
2.9225,0.047182
2.932,0.047026
2.9415,0.046871
2.951,0.046718
2.9605,0.046569
2.97,0.046422
2.9795,0.046276
2.989,0.046131
2.9985,0.045987
3.008,0.045845
3.0175,0.045704
3.027,0.045564
3.0365,0.045427
3.046,0.045291
3.0555,0.045161
3.065,0.045033
3.0745,0.044912
3.084,0.044796
3.0935,0.044685
3.103,0.044583
3.1125,0.044485
3.122,0.044393
3.1315,0.044305
3.141,0.04422
3.1505,0.04414
3.16,0.044061
3.1695,0.043983
3.179,0.043904
3.1885,0.043824
3.198,0.04374
3.2075,0.043655
3.217,0.043569
3.2265,0.043484
3.236,0.043399
3.2455,0.043318
3.255,0.043238
3.2645,0.043161
3.274,0.043089
3.2835,0.043021
3.293,0.042959
3.3025,0.042903
3.312,0.04285
3.3215,0.042805
3.331,0.042762
3.3405,0.042724
3.35,0.04269
3.3595,0.042657
3.369,0.042625
3.3785,0.042591
3.388,0.042552
3.3975,0.042505
3.407,0.042454
3.4165,0.042394
3.426,0.042333
3.4355,0.04227
3.445,0.042212
3.4545,0.042154
3.464,0.042101
3.4735,0.042048
3.483,0.041995
3.4925,0.041942
3.502,0.041888
3.5115,0.041836
3.521,0.041785
3.5305,0.041734
3.54,0.041685
3.5495,0.041635
3.559,0.041584
3.5685,0.041534
3.578,0.041484
3.5875,0.041437
3.597,0.041392
3.6065,0.041351
3.616,0.041312
3.6255,0.041275
3.635,0.041241
3.6445,0.041208
3.654,0.041176
3.6635,0.041146
3.673,0.041117
3.6825,0.041089
3.692,0.04106
3.7015,0.041031
3.711,0.040997
3.7205,0.040961
3.73,0.040918
3.7395,0.040873
3.749,0.040824
3.7585,0.040773
3.768,0.040721
3.7775,0.04067
3.787,0.040624
3.7965,0.04058
3.806,0.040545
3.8155,0.040515
3.825,0.040492
3.8345,0.040475
3.844,0.040462
3.8535,0.040455
3.863,0.040451
3.8725,0.040449
3.882,0.040451
3.8915,0.040454
3.901,0.040463
3.9105,0.040474
3.92,0.040487
3.9295,0.040503
3.939,0.04052
3.9485,0.04054
3.958,0.040561
3.9675,0.040584
3.977,0.040608
3.9865,0.040633
3.996,0.040659
4.0055,0.040684
4.015,0.040709
4.0245,0.040731
4.034,0.040752
4.0435,0.04077
4.053,0.040786
4.0625,0.040801
4.072,0.040812
4.0815,0.040822
4.091,0.04083
4.1005,0.040836
4.11,0.040841
4.1195,0.040845
4.129,0.04085
4.1385,0.040855
4.148,0.040864
4.1575,0.040874
4.167,0.040889
4.1765,0.040906
4.186,0.040926
4.1955,0.040949
4.205,0.040972
4.2145,0.040996
4.224,0.04102
4.2335,0.041044
4.243,0.041068
4.2525,0.041092
4.262,0.041114
4.2715,0.041134
4.281,0.041153
4.2905,0.041167
4.3,0.04118
4.3095,0.041191
4.319,0.0412
4.3285,0.041209
4.338,0.041219
4.3475,0.04123
4.357,0.041242
4.3665,0.041256
4.376,0.041271
4.3855,0.041287
4.395,0.041302
4.4045,0.041315
4.414,0.041322
4.4235,0.041327
4.433,0.041321
4.4425,0.04131
4.452,0.041292
4.4615,0.041265
4.471,0.041236
4.4805,0.041205
4.49,0.041161
4.4995,0.041109
4.509,0.041085
4.5185,0.041025
4.528,0.040881
4.566,0.040319
4.5755,0.040269
4.585,0.040219
4.5945,0.04017
4.604,0.040138
4.6135,0.040106
4.623,0.040075
4.6325,0.040035
4.642,0.039993
4.6515,0.03995
4.661,0.039912
4.6705,0.039877
4.68,0.039842
4.6895,0.039808
4.699,0.039776
4.7085,0.039744
4.718,0.039712
4.7275,0.039682
4.737,0.039652
4.7465,0.039623
4.756,0.039594
4.7655,0.039566
4.775,0.039538
4.7845,0.03951
4.794,0.03948
4.8035,0.03945
4.813,0.039419
4.8225,0.039387
4.832,0.039355
4.8415,0.039323
4.851,0.039289
4.8605,0.039254
4.87,0.039219
4.8795,0.039184
4.889,0.03915
4.8985,0.039116
4.908,0.039082
4.9175,0.03905
4.927,0.039019
4.9365,0.038987
4.946,0.038958
4.9555,0.038931
4.965,0.038903
4.9745,0.038876
4.984,0.038851
4.9935,0.038825
5.003,0.0388
5.0125,0.038776
5.022,0.038751
5.0315,0.038727
5.041,0.0387
5.0505,0.038673
5.06,0.038647
5.0695,0.038617
5.079,0.038587
5.0885,0.038556
5.098,0.038524
5.1075,0.038488
5.117,0.038453
5.1265,0.038417
5.136,0.038378
5.1455,0.038339
5.155,0.038299
5.1645,0.038258
5.174,0.038217
5.1835,0.038176
5.193,0.038135
5.2025,0.038093
5.212,0.038052
5.2215,0.038011
5.231,0.037972
5.2405,0.037932
5.25,0.037892
5.2595,0.037856
5.269,0.037819
5.2785,0.037782
5.288,0.037747
5.2975,0.037713
5.307,0.037678
5.3165,0.037646
5.326,0.037614
5.3355,0.037583
5.345,0.037552
5.3545,0.037524
5.364,0.037496
5.3735,0.037467
5.383,0.037441
5.3925,0.037416
5.402,0.03739
5.4115,0.037365
5.421,0.037341
5.4305,0.037318
5.44,0.037294
5.4495,0.03727
5.459,0.037247
5.4685,0.037223
5.478,0.0372
5.4875,0.037176
5.497,0.037153
5.5065,0.03713
5.516,0.037107
5.5255,0.037084
5.535,0.037061
5.5445,0.03704
5.554,0.037018
5.5635,0.036997
5.573,0.036978
5.5825,0.036958
5.592,0.036939
5.6015,0.03692
5.611,0.036901
5.6205,0.036883
5.63,0.036864
5.6395,0.036846
5.649,0.036827
5.6585,0.036808
5.668,0.036788
5.6775,0.036768
5.687,0.036748
5.6965,0.036727
5.706,0.036706
5.7155,0.036684
5.725,0.036662
5.7345,0.036639
5.744,0.036616
5.7535,0.036593
5.763,0.036569
5.7725,0.036545
5.782,0.03652
5.7915,0.036495
5.801,0.03647
5.8105,0.036444
5.82,0.036418
5.8295,0.036393
5.839,0.036367
5.8485,0.036341
5.858,0.036316
5.8675,0.03629
5.877,0.036265
5.8865,0.036241
5.896,0.036218
5.9055,0.036194
5.915,0.036173
5.9245,0.036152
5.934,0.036131
5.9435,0.036113
5.953,0.036096
5.9625,0.03608
5.972,0.036064
5.9815,0.036052
5.991,0.03604
6.0005,0.036028
6.01,0.03602
6.0195,0.036012
6.029,0.036004
6.0385,0.035998
6.048,0.035992
6.0575,0.035987
6.067,0.035982
6.0765,0.035977
6.086,0.035973
6.0955,0.035968
6.105,0.035964
6.1145,0.035959
6.124,0.035954
6.1335,0.035948
6.143,0.035942
6.1525,0.035937
6.162,0.03593
6.1715,0.035924
6.181,0.035918
6.1905,0.035911
6.2,0.035905
6.2095,0.0359
6.219,0.035894
6.2285,0.03589
6.238,0.035885
6.2475,0.035881
6.257,0.035878
6.2665,0.035875
6.276,0.035873
6.2855,0.03587
6.295,0.035868
6.3045,0.035865
6.314,0.035863
6.3235,0.03586
6.333,0.035856
6.3425,0.035853
6.352,0.035848
6.3615,0.035842
6.371,0.035837
6.3805,0.035831
6.39,0.035823
6.3995,0.035816
6.409,0.035808
6.4185,0.035799
6.428,0.03579
6.4375,0.03578
6.447,0.03577
6.4565,0.035759
6.466,0.035748
6.4755,0.035737
6.485,0.035725
6.4945,0.035713
6.504,0.035701
6.5135,0.035688
6.523,0.035675
6.5325,0.035662
6.542,0.035648
6.5515,0.035634
6.561,0.03562
6.5705,0.035604
6.58,0.035589
6.5895,0.035573
6.599,0.035557
6.6085,0.035539
6.618,0.035522
6.6275,0.035504
6.637,0.035485
6.6465,0.035466
6.656,0.035446
6.6655,0.035426
6.675,0.035405
6.6845,0.035384
6.694,0.035363
6.7035,0.035342
6.713,0.03532
6.7225,0.0353
6.732,0.03528
6.7415,0.035259
6.751,0.035239
6.7605,0.035221
6.77,0.035203
6.7795,0.035184
6.789,0.035167
6.7985,0.035151
6.808,0.035135
6.8175,0.035119
6.827,0.035104
6.8365,0.03509
6.846,0.035075
6.8555,0.035061
6.865,0.035048
6.8745,0.035034
6.884,0.035021
6.8935,0.035008
6.903,0.034994
6.9125,0.034981
6.922,0.034968
6.9315,0.034956
6.941,0.034943
6.9505,0.03493
6.96,0.034918
6.9695,0.034906
6.979,0.034894
6.9885,0.034882
6.998,0.03487
7.0075,0.034858
7.017,0.034846
7.0265,0.034834
7.036,0.034822
7.0455,0.03481
7.055,0.034798
7.0645,0.034786
7.074,0.034774
7.0835,0.034762
7.093,0.034751
7.1025,0.03474
7.112,0.034729
7.1215,0.034718
7.131,0.034707
7.1405,0.034697
7.15,0.034687
7.1595,0.034677
7.169,0.034668
7.1785,0.034658
7.188,0.034649
7.1975,0.03464
7.207,0.03463
7.2165,0.034621
7.226,0.034611
7.2355,0.0346
7.245,0.03459
7.2545,0.034579
7.264,0.034567
7.2735,0.034556
7.283,0.034544
7.2925,0.034532
7.302,0.03452
7.3115,0.034507
7.321,0.034495
7.3305,0.034483
7.34,0.034471
7.3495,0.034459
7.359,0.034446
7.3685,0.034434
7.378,0.034421
7.3875,0.034408
7.397,0.034395
7.4065,0.034382
7.416,0.034365
7.4255,0.034348
7.435,0.034331
7.4445,0.034313
7.454,0.034295
7.4635,0.034276
7.473,0.03425
7.4825,0.034214
7.492,0.034178
7.5015,0.034146
7.511,0.034128
7.5205,0.03411
7.53,0.034092
7.5395,0.034001
7.549,0.0339
7.5585,0.033799
7.625,0.033018
7.6345,0.03297
7.644,0.032922
7.6535,0.032874
7.663,0.032825
7.6725,0.032777
7.682,0.032729
7.6915,0.032687
7.701,0.032654
7.7105,0.032622
7.72,0.032589
7.7295,0.032556
7.739,0.032523
7.7485,0.032491
7.758,0.032454
7.7675,0.032417
7.777,0.032379
7.7865,0.032342
7.796,0.032304
7.8055,0.032267
7.815,0.032231
7.8245,0.032201
7.834,0.032171
7.8435,0.032141
7.853,0.032111
7.8625,0.032081
7.872,0.032051
7.8815,0.032022
7.891,0.031994
7.9005,0.031966
7.91,0.031938
7.9195,0.03191
7.929,0.031882
7.9385,0.031855
7.948,0.031829
7.9575,0.031802
7.967,0.031776
7.9765,0.03175
7.986,0.031724
7.9955,0.031698
8.005,0.031672
8.0145,0.031647
8.024,0.031622
8.0335,0.031597
8.043,0.031572
8.0525,0.031547
8.062,0.031523
8.0715,0.031497
8.081,0.031472
8.0905,0.031447
8.1,0.031421
8.1095,0.031396
8.119,0.031371
8.1285,0.031346
8.138,0.031321
8.1475,0.031296
8.157,0.031271
8.1665,0.031246
8.176,0.031221
8.1855,0.031196
8.195,0.03117
8.2045,0.031143
8.214,0.031117
8.2235,0.03109
8.233,0.031064
8.2425,0.031038
8.252,0.031011
8.2615,0.030985
8.271,0.030958
8.2805,0.030932
8.29,0.030905
8.2995,0.030879
8.309,0.030852
8.3185,0.030825
8.328,0.030798
8.3375,0.030771
8.347,0.030743
8.3565,0.030716
8.366,0.030689
8.3755,0.030661
8.385,0.030635
8.3945,0.030608
8.404,0.030582
8.4135,0.030555
8.423,0.030528
8.4325,0.030502
8.442,0.030475
8.4515,0.030449
8.461,0.030423
8.4705,0.030397
8.48,0.030371
8.4895,0.030344
8.499,0.030318
8.5085,0.030293
8.518,0.030269
8.5275,0.030244
8.537,0.030219
8.5465,0.030195
8.556,0.03017
8.5655,0.030146
8.575,0.030122
8.5845,0.030098
8.594,0.030075
8.6035,0.030051
8.613,0.030027
8.6225,0.030003
8.632,0.029981
8.6415,0.029958
8.651,0.029936
8.6605,0.029914
8.67,0.029891
8.6795,0.029869
8.689,0.029847
8.6985,0.029825
8.708,0.029804
8.7175,0.029782
8.727,0.02976
8.7365,0.029739
8.746,0.029717
8.7555,0.029696
8.765,0.029676
8.7745,0.029655
8.784,0.029635
8.7935,0.029614
8.803,0.029594
8.8125,0.029573
8.822,0.029553
8.8315,0.029533
8.841,0.029513
8.8505,0.029493
8.86,0.029473
8.8695,0.029453
8.879,0.029433
8.8885,0.029413
8.898,0.029393
8.9075,0.029374
8.917,0.029354
8.9265,0.029334
8.936,0.029315
8.9455,0.029295
8.955,0.029275
8.9645,0.029255
8.974,0.029235
8.9835,0.029215
8.993,0.029195
9.0025,0.029174
9.012,0.029154
9.0215,0.029134
9.031,0.029113
9.0405,0.029093
9.05,0.029072
9.0595,0.029052
9.069,0.029031
9.0785,0.029009
9.088,0.028988
9.0975,0.028967
9.107,0.028945
9.1165,0.028924
9.126,0.028903
9.1355,0.02888
9.145,0.028858
9.1545,0.028836
9.164,0.028814
9.1735,0.028792
9.183,0.02877
9.1925,0.028748
9.202,0.028725
9.2115,0.028702
9.221,0.028679
9.2305,0.028657
9.24,0.028634
9.2495,0.028611
9.259,0.028588
9.2685,0.028565
9.278,0.028542
9.2875,0.028519
9.297,0.028496
9.3065,0.028472
9.316,0.028449
9.3255,0.028426
9.335,0.028402
9.3445,0.028379
9.354,0.028355
9.3635,0.028332
9.373,0.028309
9.3825,0.028285
9.392,0.028261
9.4015,0.028238
9.411,0.028214
9.4205,0.02819
9.43,0.028167
9.4395,0.028143
9.449,0.02812
9.4585,0.028096
9.468,0.028072
9.4775,0.028049
9.487,0.028025
9.4965,0.028002
9.506,0.027978
9.5155,0.027955
9.525,0.027932
9.5345,0.027909
9.544,0.027886
9.5535,0.027862
9.563,0.027839
9.5725,0.027817
9.582,0.027794
9.5915,0.027771
9.601,0.027749
9.6105,0.027726
9.62,0.027704
9.6295,0.027681
9.639,0.02766
9.6485,0.027638
9.658,0.027616
9.6675,0.027594
9.677,0.027573
9.6865,0.027551
9.696,0.02753
9.7055,0.027509
9.715,0.027488
9.7245,0.027467
9.734,0.027446
9.7435,0.027425
9.753,0.027404
9.7625,0.027383
9.772,0.027363
9.7815,0.027343
9.791,0.027322
9.8005,0.027302
9.81,0.027282
9.8195,0.027261
9.829,0.02724
9.8385,0.027219
9.848,0.027199
9.8575,0.027178
9.867,0.027157
9.8765,0.027136
9.886,0.027116
9.8955,0.027095
9.905,0.027075
9.9145,0.027054
9.924,0.027034
9.9335,0.027014
9.943,0.026987
9.9525,0.026957
9.962,0.026927
9.9715,0.026896
9.981,0.026866
9.9905,0.026835
10,0.026805
